Genes,F:\massdata\20240930TPP\m\20240930_tpp_m_01.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_02.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_03.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_04.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_05.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_06.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_07.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_08.raw,
USP6NL,211497,211497,128276,128276,128276,137328,99139.3,261850
UTP15,2530000,2210000,2190000,1680000,655103,0,0,0
VIPAS39,2790000,2840000,814305,1050000,93339.9,0,0,0
VPS39,2740000,2290000,1530000,1460000,408717,0,0,0
VPS41,1190000,781891,469190,182207,132334,0,0,0
VWA1,631199,560621,560621,581663,581663,414332,414332,446090
WDR24,239498,175568,90537.9,125896,108193,0,0,0
WDR36,2370000,1830000,1040000,640074,237464,0,0,0
WDR83OS,8200000,7320000,7500000,7500000,4150000,4150000,4750000,4750000
WDR91,116377,82867.2,82656.7,119961,45908.6,45908.6,0,0
WRAP53,701591,701591,701591,383025,484164,484164,188054,218443
WWP2,829063,668274,603513,411459,253345,0,0,0
XPO6,3210000,2570000,1800000,1690000,767385,0,0,0
XXYLT1,371284,668101,761450,733326,475760,0,0,0
YOD1,493701,466208,524023,411112,240282,0,0,0
YTHDC2,6560000,4780000,2530000,2250000,1110000,0,0,0
ZC3H12A,72101.1,375846,75418.6,274071,27295.8,0,0,0
ABCB10,686494,438845,303106,203292,160286,82656.8,0,0
ABCB7,6290000,5070000,2880000,2600000,1430000,821518,0,0
ABCD1,3020000,2510000,1130000,1040000,437917,465234,0,0
ACSF3,8790000,7830000,7120000,4230000,2110000,758898,0,0
ACTG1,10300000,1660000,7880000,41600000,41600000,28000000,2170000,0
ACTMAP,1270000,1210000,1420000,1010000,231319,86112.5,86112.5,86112.5
ACTR5,2590000,1800000,1230000,920842,465059,369825,0,0
AEBP2,1470000,986256,939119,636169,375940,324108,0,0
AGAP1,857456,735598,811259,854276,908480,696150,0,0
AGPAT3,5310000,5720000,2160000,11200000,12700000,947027,0,0
AGT,53003.1,53003.1,53003.1,82064.4,113662,126257,72161.3,41515.7
AHCYL2,2590000,2020000,2360000,1890000,1160000,677320,677320,0
AKAP10,1500000,1040000,17000000,4500000,10200000,6670000,6670000,6670000
AKAP8L,3810000,2880000,1470000,1800000,1290000,1890000,0,0
AKIP1,162442,138634,68084.8,63612.1,49854.8,49913.1,0,0
ALDH5A1,5020000,4290000,4030000,3150000,3130000,1140000,0,0
ALDH6A1,180000000,160000000,87900000,90200000,37000000,21600000,0,0
AMIGO2,233232,233232,233232,103070,65316.8,127131,29996.7,32490.9
AMMECR1,3020000,2450000,2310000,1660000,1140000,670815,0,0
AMPD3,5460000,4570000,5180000,4320000,2490000,965159,0,0
ANAPC1,3920000,3210000,2130000,1720000,1210000,628714,0,0
ANAPC10,1200000,915603,1180000,1010000,319106,367883,0,0
ANKRD27,3100000,3380000,4780000,1210000,1650000,263049,263049,263049
ANKRD54,2020000,2020000,2020000,1680000,1770000,1710000,1080000,1090000
ANKZF1,1610000,1250000,844798,768265,661366,226317,0,0
AQP5,524598,323719,323719,523014,501586,501586,649950,1330000
ARAF,5920000,4490000,2540000,2070000,1050000,581611,0,0
ARL13B,1290000,1190000,982607,796023,432134,326680,0,0
ARL15,338186,468800,80800.2,117081,65976.5,44445.7,0,0
ARL6IP6,605355,428951,351940,339986,173910,133707,0,0
ARMH3,2250000,2000000,1670000,1420000,1430000,517824,0,0
ARMT1,2600000,2200000,1360000,750430,574884,269017,0,0
ARRDC1,1140000,1280000,1160000,987968,444448,303905,0,0
ASF1B,2230000,1880000,2290000,2090000,1640000,679042,0,0
ASPRV1,923863,721788,721788,404996,1940000,1940000,514195,886461
ATF1,7440000,6990000,9130000,8360000,10700000,10700000,10700000,14500000
ATG7,5680000,5730000,4820000,3620000,2500000,1080000,0,0
ATP11A,6100000,5980000,3340000,2690000,1580000,1260000,0,0
ATP13A3,1140000,873983,521542,973301,396536,229288,0,0
ATP2A3,3550000,3360000,1970000,1790000,996956,662838,0,0
ATRIP,129871,93263.8,62111.8,62111.8,62111.8,55903.4,57589.6,91946.2
